================================================================================
HEAD TOOL COUNTER — DEBUG PIPELINE V2
================================================================================
Video: D:\杭州供电段\头戴设备作业工具识别\01公司拍摄数据20260717\测试用\test_cut.mp4
Output: D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd
Git SHA: 06ea5fd
Max frames: ALL

Config loaded:
  matcher: min_good=20, min_inliers=30, min_ratio=0.3, max_reproj=3.0
  associator: max_pos=250.0, min_obs_confirm=5
  tracker: max_missed=5, min_iou=0.2, inactive_min_iou=0.3
  pipeline: l2_interval=3, min_kf_interval=5

Initializing modules...
  All modules initialized in 1.59s


================================================================================
STARTING FRAME-BY-FRAME PROCESSING
================================================================================

F0000 | QUALITY REJECT | sharpness=15.6
F0001 | QUALITY REJECT | sharpness=14.9
F0002 | QUALITY REJECT | sharpness=14.9
F0003 | QUALITY REJECT | sharpness=14.8
F0004 | QUALITY REJECT | sharpness=14.8
F0005 | QUALITY REJECT | sharpness=15.0
F0006 | QUALITY REJECT | sharpness=14.4
F0007 | QUALITY REJECT | sharpness=14.5
F0008 | QUALITY REJECT | sharpness=14.7
F0009 | QUALITY REJECT | sharpness=15.0
F0010 | QUALITY REJECT | sharpness=15.7
F0011 | QUALITY REJECT | sharpness=15.3
F0012 | QUALITY REJECT | sharpness=16.0
F0013 | QUALITY REJECT | sharpness=16.5
F0014 | QUALITY REJECT | sharpness=16.3
F0015 | QUALITY REJECT | sharpness=17.4
F0016 | QUALITY REJECT | sharpness=17.2
F0017 | QUALITY REJECT | sharpness=18.1
F0018 | QUALITY REJECT | sharpness=17.7
F0019 | QUALITY REJECT | sharpness=18.4
F0020 | QUALITY REJECT | sharpness=19.3
F0021 | QUALITY REJECT | sharpness=19.0
F0022 | QUALITY REJECT | sharpness=19.4
  (quality reject interval: 0..22, length=23)
  [KEYFRAME #0] L1=6 L3=7 fused=6 tracked=6 objects_affected=6
F0023 | ACCEPTED (first_frame) | sharp=20 L2=7 MAX_INTERVAL NEW_DET FIRST KF | 0.684s
F0111 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 513682.2 LOST | match_err=match_failed: condition number too large: 513682.2
F0112 | RECOVERY | sharp=37 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 294986.2 LOST | match_err=match_failed: condition number too large: 294986.2
F0113 | RECOVERY | sharp=34 L2=15 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 1154852.4 LOST | match_err=match_failed: condition number too large: 1154852.4
F0114 | RECOVERY | sharp=33 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 1748681.2 LOST | match_err=match_failed: condition number too large: 1748681.2
F0115 | RECOVERY | sharp=32 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 1704605.9 LOST | match_err=match_failed: condition number too large: 1704605.9
F0116 | RECOVERY | sharp=32 L2=18 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 2726981.1 LOST | match_err=match_failed: condition number too large: 2726981.1
F0117 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0118 | RECOVERY | sharp=30 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 661047.4 LOST | match_err=match_failed: condition number too large: 661047.4
F0119 | RECOVERY | sharp=28 L2=20 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 32078216.9 LOST | match_err=match_failed: condition number too large: 32078216.9
F0120 | RECOVERY | sharp=37 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 5.76e-07 LOST | match_err=match_failed: det(H) too small: 5.76e-07
F0121 | RECOVERY | sharp=33 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 35026593.1 LOST | match_err=match_failed: condition number too large: 35026593.1
F0122 | RECOVERY | sharp=31 L2=23 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: -5.63e-09 LOST | match_err=match_failed: det(H) too small: -5.63e-09
F0123 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 7326020.7 LOST | match_err=match_failed: condition number too large: 7326020.7
F0124 | RECOVERY | sharp=29 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 33573874.1 LOST | match_err=match_failed: condition number too large: 33573874.1
F0125 | RECOVERY | sharp=29 L2=24 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: 9.04e-09 LOST | match_err=match_failed: det(H) too small: 9.04e-09
F0126 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 2114880087.9 LOST | match_err=match_failed: condition number too large: 2114880087.9
F0127 | RECOVERY | sharp=27 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: -6.05e-09 LOST | match_err=match_failed: det(H) too small: -6.05e-09
F0128 | RECOVERY | sharp=28 L2=30 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 14657860.5 LOST | match_err=match_failed: condition number too large: 14657860.5
F0129 | RECOVERY | sharp=29 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 48348060.2 LOST | match_err=match_failed: condition number too large: 48348060.2
F0130 | RECOVERY | sharp=29 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 1.94e-07 LOST | match_err=match_failed: det(H) too small: 1.94e-07
F0131 | RECOVERY | sharp=29 L2=25 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 7822985607.9 LOST | match_err=match_failed: condition number too large: 7822985607.9
F0132 | RECOVERY | sharp=29 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 72306282.3 LOST | match_err=match_failed: condition number too large: 72306282.3
F0133 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: -1.11e-08 LOST | match_err=match_failed: det(H) too small: -1.11e-08
F0134 | RECOVERY | sharp=33 L2=27 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: -3.13e-10 LOST | match_err=match_failed: det(H) too small: -3.13e-10
F0135 | RECOVERY | sharp=34 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 8.62e-09 LOST | match_err=match_failed: det(H) too small: 8.62e-09
F0136 | RECOVERY | sharp=33 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 2.83e-10 LOST | match_err=match_failed: det(H) too small: 2.83e-10
F0137 | RECOVERY | sharp=32 L2=25 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: 1.47e-13 LOST | match_err=match_failed: det(H) too small: 1.47e-13
F0138 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 74391223.3 LOST | match_err=match_failed: condition number too large: 74391223.3
F0139 | RECOVERY | sharp=33 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: -1.22e-10 LOST | match_err=match_failed: det(H) too small: -1.22e-10
F0140 | RECOVERY | sharp=34 L2=26 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: -2.94e-11 LOST | match_err=match_failed: det(H) too small: -2.94e-11
F0141 | RECOVERY | sharp=34 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 687475804.0 LOST | match_err=match_failed: condition number too large: 687475804.0
F0142 | RECOVERY | sharp=34 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 2.55e-10 LOST | match_err=match_failed: det(H) too small: 2.55e-10
F0143 | RECOVERY | sharp=33 L2=26 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: 7.19e-12 LOST | match_err=match_failed: det(H) too small: 7.19e-12
F0144 | RECOVERY | sharp=33 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: -1.42e-07 LOST | match_err=match_failed: det(H) too small: -1.42e-07
F0145 | RECOVERY | sharp=35 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 1.72e-07 LOST | match_err=match_failed: det(H) too small: 1.72e-07
F0146 | RECOVERY | sharp=34 L2=26 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: 3.21e-09 LOST | match_err=match_failed: det(H) too small: 3.21e-09
F0147 | RECOVERY | sharp=34 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: -3.41e-11 LOST | match_err=match_failed: det(H) too small: -3.41e-11
F0148 | RECOVERY | sharp=35 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 7.97e-09 LOST | match_err=match_failed: det(H) too small: 7.97e-09
F0149 | RECOVERY | sharp=36 L2=27 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 3759956750.0 LOST | match_err=match_failed: condition number too large: 3759956750.0
F0150 | RECOVERY | sharp=52 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 564981038.4 LOST | match_err=match_failed: condition number too large: 564981038.4
F0151 | RECOVERY | sharp=44 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 79923377.0 LOST | match_err=match_failed: condition number too large: 79923377.0
F0152 | RECOVERY | sharp=41 L2=28 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 162177105.9 LOST | match_err=match_failed: condition number too large: 162177105.9
F0153 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: -5.15e-07 LOST | match_err=match_failed: det(H) too small: -5.15e-07
F0154 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 1.78e-13 LOST | match_err=match_failed: det(H) too small: 1.78e-13
F0155 | RECOVERY | sharp=37 L2=26 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: -3.71e-10 LOST | match_err=match_failed: det(H) too small: -3.71e-10
F0156 | RECOVERY | sharp=37 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: -1.53e-11 LOST | match_err=match_failed: det(H) too small: -1.53e-11
F0157 | RECOVERY | sharp=35 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 486730043.0 LOST | match_err=match_failed: condition number too large: 486730043.0
F0158 | RECOVERY | sharp=33 L2=27 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: 2.39e-07 LOST | match_err=match_failed: det(H) too small: 2.39e-07
F0159 | RECOVERY | sharp=32 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 856259133.2 LOST | match_err=match_failed: condition number too large: 856259133.2
F0160 | RECOVERY | sharp=32 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: 6.72e-09 LOST | match_err=match_failed: det(H) too small: 6.72e-09
F0161 | RECOVERY | sharp=32 L2=22 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: 3.68e-10 LOST | match_err=match_failed: det(H) too small: 3.68e-10
F0162 | RECOVERY | sharp=32 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 2077271.9 LOST | match_err=match_failed: condition number too large: 2077271.9
F0163 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 488215606.3 LOST | match_err=match_failed: condition number too large: 488215606.3
F0164 | RECOVERY | sharp=31 L2=25 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 17 < 20 LOST | match_err=match_failed: insufficient good matches: 17 < 20
F0165 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 18 < 20 LOST | match_err=match_failed: insufficient good matches: 18 < 20
F0166 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 1353716230.6 LOST | match_err=match_failed: condition number too large: 1353716230.6
F0167 | RECOVERY | sharp=30 L2=24 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 15 < 20 LOST | match_err=match_failed: insufficient good matches: 15 < 20
F0168 | RECOVERY | sharp=29 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 11 < 20 LOST | match_err=match_failed: insufficient good matches: 11 < 20
F0169 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 12 < 20 LOST | match_err=match_failed: insufficient good matches: 12 < 20
F0170 | RECOVERY | sharp=31 L2=32 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 13 < 20 LOST | match_err=match_failed: insufficient good matches: 13 < 20
F0171 | RECOVERY | sharp=30 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 9 < 20 LOST | match_err=match_failed: insufficient good matches: 9 < 20
F0172 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 13 < 20 LOST | match_err=match_failed: insufficient good matches: 13 < 20
F0173 | RECOVERY | sharp=28 L2=23 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 14 < 20 LOST | match_err=match_failed: insufficient good matches: 14 < 20
F0174 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 16 < 20 LOST | match_err=match_failed: insufficient good matches: 16 < 20
F0175 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 14 < 20 LOST | match_err=match_failed: insufficient good matches: 14 < 20
F0176 | RECOVERY | sharp=31 L2=30 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 17 < 20 LOST | match_err=match_failed: insufficient good matches: 17 < 20
F0177 | RECOVERY | sharp=30 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 47905801.4 LOST | match_err=match_failed: condition number too large: 47905801.4
F0178 | RECOVERY | sharp=30 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 14 < 20 LOST | match_err=match_failed: insufficient good matches: 14 < 20
F0179 | RECOVERY | sharp=30 L2=29 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 17 < 20 LOST | match_err=match_failed: insufficient good matches: 17 < 20
F0180 | RECOVERY | sharp=44 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 18 < 20 LOST | match_err=match_failed: insufficient good matches: 18 < 20
F0181 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 475785875.6 LOST | match_err=match_failed: condition number too large: 475785875.6
F0182 | RECOVERY | sharp=35 L2=24 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: 3.33e-10 LOST | match_err=match_failed: det(H) too small: 3.33e-10
F0183 | RECOVERY | sharp=35 MAX_INTERVAL RECOVERY: match_failed: det(H) too small: -7.92e-10 LOST | match_err=match_failed: det(H) too small: -7.92e-10
F0184 | RECOVERY | sharp=33 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 157322020.0 LOST | match_err=match_failed: condition number too large: 157322020.0
F0185 | RECOVERY | sharp=31 L2=23 MAX_INTERVAL NEW_DET RECOVERY: match_failed: det(H) too small: 6.62e-07 LOST | match_err=match_failed: det(H) too small: 6.62e-07
F0186 | RECOVERY | sharp=29 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 17 < 20 LOST | match_err=match_failed: insufficient good matches: 17 < 20
F0187 | RECOVERY | sharp=27 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 13 < 20 LOST | match_err=match_failed: insufficient good matches: 13 < 20
F0188 | RECOVERY | sharp=26 L2=26 MAX_INTERVAL NEW_DET RECOVERY: match_failed: insufficient good matches: 17 < 20 LOST | match_err=match_failed: insufficient good matches: 17 < 20
F0189 | RECOVERY | sharp=25 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 16 < 20 LOST | match_err=match_failed: insufficient good matches: 16 < 20
F0190 | RECOVERY | sharp=24 MAX_INTERVAL RECOVERY: match_failed: insufficient good matches: 10 < 20 LOST | match_err=match_failed: insufficient good matches: 10 < 20
